d_core_nm,tau_N_s,tau_B_s,tau_eff_s,f_opt_Hz,frac_Neel
8.0,2.332770269902257e-09,2.226577651045415e-06,2.33032880025857e-09,68297204.70100002,0.9989534033097096
8.5,2.7621596621813775e-09,2.417327626851924e-06,2.7590070824540064e-09,57685587.00122457,0.9988586540559059
9.0,3.340307585836538e-09,2.618672172242884e-06,3.3360522076284504e-09,47707569.66211755,0.9987260519881069
9.5,4.130702240885791e-09,2.8308976269367917e-06,4.124683711607881e-09,38585975.124345645,0.9985429767320583
10.0,5.229978998243648e-09,3.054290330652146e-06,5.221038812347253e-09,30483386.316820566,0.9982905885665321
10.5,6.788182326812872e-09,3.2891366231074465e-06,6.774201601516566e-09,23494273.1932077,0.9979404316762261
11.0,9.043226878556133e-09,3.5357228440211917e-06,9.020156258170659e-09,17644366.52056102,0.997448850869795
11.5,1.2380797025317236e-08,3.794335333111878e-06,1.2340530262642557e-08,12896929.038267637,0.9967476437427787
12.0,1.744086035402789e-08,4.0652604300980065e-06,1.736635487634328e-08,9164556.65136146,0.9957281076637138
12.5,2.5311635329129645e-08,4.348784474698076e-06,2.5165164180138166e-08,6324415.050608326,0.9942132877987968
13.0,3.7891725191535346e-08,4.645193806630583e-06,3.758513612152274e-08,4234518.203613926,0.9919088120569107
13.5,5.858403787800297e-08,4.954774765614029e-06,5.789944903674535e-08,2748816.1932402696,0.9883144135151075
14.0,9.366209092388756e-08,5.27781369136691e-06,9.202891083860133e-08,1729401.572197442,0.9825630618623131
14.5,1.5503754919406832e-07,5.6145969236077245e-06,1.5087148949420127e-07,1054904.0353844485,0.9731287051328954
15.0,2.660341039025541e-07,5.965410802054974e-06,2.546765222329205e-07,624929.7803208432,0.9573077981242818
15.5,4.738097379604845e-07,6.3305416664271536e-06,4.408167817705056e-07,361045.5628587055,0.9303666565993404
16.0,8.769519018751687e-07,6.710275856442765e-06,7.75591475814495e-07,205204.60584582522,0.8844173484954686
16.5,1.68885189295816e-06,7.1048997118203055e-06,1.3645056020305788e-06,116639.2742214104,0.8079486470779491
17.0,3.3883653293689302e-06,7.514699572278273e-06,2.3353568671763498e-06,68150.159544707,0.689228179421639
17.5,7.091051543369004e-06,7.939961777535168e-06,3.745767302233675e-06,42489.276628846674,0.5282386229072644
18.0,1.549857176595905e-05,8.380972667309491e-06,5.439513585186857e-06,29259.03954451252,0.35096870004074593
18.5,3.542192943974479e-05,8.838018581319732e-06,7.073204659564156e-06,22501.1081613044,0.199684341633512
19.0,8.476003396081832e-05,9.3113858592844e-06,8.389725414631967e-06,18970.22074337781,0.09898209123547841
19.5,0.0002126117582041662,9.801360840921989e-06,9.369431848844485e-06,16986.616228125255,0.044068267568942415
20.0,0.0005597570333206426,1.0308229865950996e-05,1.0121830851958622e-05,15723.92835048198,0.018082543406222087
20.5,0.0015486983575962632,1.083227927408992e-05,1.0757039794019588e-05,14795.421987783115,0.006945858592318522
21.0,0.0045084576000249425,1.137379540505726e-05,1.1345174155590544e-05,14028.426616392559,0.002516420284295848
21.5,0.013826806650769782,1.1933064598571522e-05,1.1922774786519088e-05,13348.817363542717,0.0008622941715797632
22.0,0.04472881713149124,1.2510373194351192e-05,1.2506875098827639e-05,12725.396378733652,0.00027961560132611237
22.5,0.15281410240916934,1.3106007532114771e-05,1.3104883599830648e-05,12144.704825455456,8.57570302297199e-05
23.0,0.5520632395413404,1.3720253951580775e-05,1.3719912974901426e-05,11600.288090970114,2.485206764772106e-05
23.5,2.1115553614175817,1.435339879246768e-05,1.4353301225214534e-05,11088.385911688863,6.7975017314149514e-06
24.0,8.561369442657835,1.5005728394493993e-05,1.5005702093621045e-05,10606.297665975419,1.7527221776990153e-06
24.5,36.84257719427188,1.5677529097378224e-05,1.5677522426161585e-05,10151.791766938146,4.255273007502595e-07
25.0,168.48515392237604,1.6369087240838846e-05,1.636908565050887e-05,9722.897569843655,9.715446892163794e-08
